TV_product_grouped;TV_technology;TV_hbonordic;CZ_group5_name;CZ_employment;CZ_car;CZ_children;CZ_civilstate;CZ_home;CZ_owner;CZ_wealth;CZ_household_income;CZ_age;CZ_education;Failures;Failures_SLA_insufficient;TV_flow_consump;TV_flow_consump_cat_children;TV_flow_consump_cat_documentary;TV_flow_consump_cat_movies;TV_flow_consump_cat_leisure;TV_flow_consump_cat_art;TV_flow_consump_cat_music;TV_flow_consump_cat_news;TV_flow_consump_cat_politics;TV_flow_consump_cat_series;TV_flow_consump_cat_show;TV_flow_consump_cat_sports;TV_flow_consump_cat_other;OTT_SVOD_consump;OTT_TVOD_consump;Household_municipality
Grundpakke;Fiber;0;Velhavere;10;8;10;10;9;8;10;10;8;10;0;0;122;8;4;4;3;13;0;45;5;3;11;23;0;13;4;Roskilde
Oevrige pakker;Fiber;0;Velfunderede husejere;10;10;7;9;8;7;8;10;6;10;0;0;255;12;25;37;22;36;0;20;25;26;29;16;2;1;0;Roskilde
Fuldpakke;Fiber;0;Seniorer;3;1;1;2;6;4;7;2;10;1;0;0;227;0;4;17;3;3;2;17;5;25;13;131;2;1;0;Gribskov
Fuldpakke;Fiber;0;Velfunderede husejere;6;10;5;7;10;10;6;8;7;4;0;0;118;2;3;8;2;0;9;8;3;11;4;62;1;13;2;Gribskov
Oevrige pakker;Fiber;0;Livet på landet;8;6;7;7;8;7;9;6;5;1;0;0;65;0;2;13;0;6;0;3;1;8;2;26;0;NULL;NULL;Gribskov
Fuldpakke;Fiber;0;Livet på landet;6;7;5;7;9;9;9;8;9;7;0;0;205;2;6;8;5;5;0;57;9;61;17;32;0;NULL;NULL;Gribskov
Fuldpakke;Fiber;0;Velfunderede husejere;5;7;6;9;8;7;7;6;7;5;0;0;53;0;7;9;3;0;1;13;1;6;8;1;0;1;0;Gribskov
Fuldpakke;Fiber;0;Komfort og hygge;5;8;3;6;7;10;6;7;8;5;0;0;151;4;3;36;3;4;0;8;8;43;6;31;0;NULL;NULL;Gribskov
Fuldpakke;Fiber;0;Livet på landet;7;10;10;10;10;10;4;8;4;6;0;0;93;28;3;27;4;0;0;0;1;18;2;9;0;NULL;NULL;Lejre
Fuldpakke;Fiber;0;Urban mangfoldighed;2;3;1;1;2;4;2;1;2;3;0;0;333;0;33;3;5;36;2;122;33;6;15;71;3;NULL;NULL;Odense
Grundpakke;Fiber;0;Provinsliv;1;5;1;2;1;4;5;1;10;1;0;0;305;0;11;45;10;14;1;18;21;161;9;12;0;NULL;NULL;Lemvig
Fuldpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;303;0;15;31;11;12;1;43;8;126;22;29;0;NULL;NULL;Silkeborg
Fuldpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;203;1;7;48;12;9;0;16;6;12;28;62;0;2;0;Silkeborg
Grundpakke;DSL;0;Velhavere;10;7;5;9;10;10;9;10;8;8;0;0;941;0;238;36;148;97;10;65;114;93;100;13;24;NULL;NULL;Helsingør
Viasat Mellem grundpakke;DSL;1;Komfort og hygge;3;6;8;7;7;8;1;7;4;2;0;0;885;0;234;38;48;41;5;235;136;57;77;10;0;3;2;Norddjurs
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;5;5;6;5;5;9;4;8;5;1;0;0;766;2;58;58;67;33;2;171;37;67;40;225;1;NULL;NULL;Silkeborg
Viasat Mellem grundpakke;DSL;0;Komfort og hygge;8;10;10;9;9;6;1;10;4;9;0;0;728;0;48;59;14;44;5;180;49;58;41;212;15;NULL;NULL;Fredericia
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;7;6;5;8;6;6;10;9;9;7;0;0;707;0;42;17;46;18;5;376;9;26;17;146;0;NULL;NULL;København
Grundpakke;DSL;0;Komfort og hygge;7;7;9;5;7;6;1;7;3;8;0;0;701;25;76;61;48;86;4;32;47;201;51;64;2;NULL;NULL;Lejre
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;10;8;10;9;8;7;8;10;7;10;0;0;696;9;149;63;62;44;49;37;38;125;97;12;7;0;6;Hillerød
Grundpakke;DSL;0;Livet på landet;1;6;10;9;9;9;4;3;3;1;0;0;685;1;18;54;25;36;1;54;18;338;51;73;13;NULL;NULL;Hjørring
Viasat Stor grundpakke;DSL;0;Livet på landet;6;6;8;5;8;10;5;5;7;1;0;0;654;1;55;225;27;24;0;51;15;144;38;69;1;7;0;Nordfyns
Viasat Stor grundpakke;DSL;0;Velhavere;7;8;8;8;9;8;7;9;2;6;1;0;654;7;78;147;64;87;0;26;55;91;64;25;5;4;0;Syddjurs
Viasat Stor grundpakke;DSL;0;Komfort og hygge;1;4;4;3;4;6;4;3;2;1;0;0;638;0;42;171;48;82;1;20;22;150;39;51;7;9;0;Horsens
Grundpakke;DSL;0;Komfort og hygge;1;6;2;4;5;2;2;2;5;2;0;0;635;14;78;74;34;46;4;45;57;51;76;143;10;32;1;Slagelse
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;9;10;10;9;10;10;8;9;3;8;0;0;606;12;22;107;16;24;0;46;29;138;29;176;2;NULL;NULL;Thisted
Viasat Stor grundpakke;DSL;0;Livet på landet;6;6;10;7;9;8;2;7;4;4;0;0;601;20;84;52;31;31;1;134;50;8;54;131;1;0;1;Vordingborg
Viasat Stor grundpakke;DSL;0;Livet på landet;8;7;9;8;8;7;9;10;5;9;0;0;597;2;32;91;24;57;2;149;32;94;16;93;1;2;0;Aarhus
Viasat Stor grundpakke;DSL;0;Seniorer;2;8;5;8;7;6;7;5;10;3;0;0;586;3;29;24;31;23;21;51;70;43;21;226;39;NULL;NULL;Aabenraa
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;3;5;2;3;5;6;7;3;7;3;0;0;576;0;3;23;24;31;1;308;13;44;23;104;0;NULL;NULL;Skanderborg
Viasat Stor grundpakke;DSL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;568;2;73;153;26;12;0;71;11;171;25;18;1;17;11;Gribskov
Viasat Stor grundpakke;DSL;0;Velhavere;9;7;6;7;8;6;8;9;6;7;0;0;563;0;55;107;14;9;0;54;28;105;39;147;2;NULL;NULL;Roskilde
Grundpakke;DSL;0;Velhavere;9;8;9;9;7;7;10;9;7;8;0;0;561;0;12;14;11;4;1;336;15;120;32;13;0;1;0;Hvidovre
Grundpakke;DSL;0;Velfunderede husejere;6;9;8;8;8;6;5;7;10;4;0;0;560;0;87;47;20;107;3;81;28;110;34;38;1;NULL;NULL;Syddjurs
Viasat Stor grundpakke;DSL;0;Komfort og hygge;6;10;6;10;8;7;6;7;8;8;0;0;555;0;28;38;13;17;0;273;17;7;11;144;2;1;0;Sønderborg
Grundpakke;DSL;0;Komfort og hygge;6;7;6;6;7;5;5;7;7;5;0;0;553;0;26;63;14;97;4;71;35;160;40;33;5;NULL;NULL;Gribskov
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;8;8;7;10;7;8;10;9;8;8;0;0;544;1;38;30;28;51;0;65;17;147;37;128;0;1;0;Vallensbæk
Grundpakke;DSL;0;Livet på landet;9;9;10;8;9;9;7;8;3;5;0;0;541;0;83;132;27;7;0;26;79;90;87;6;2;NULL;NULL;Aalborg
Grundpakke;DSL;0;Velfunderede husejere;5;8;8;7;9;9;7;6;8;5;0;0;536;25;85;139;25;18;0;29;18;67;32;93;0;NULL;NULL;Mariagerfjord
Viasat Mellem grundpakke;DSL;0;Velhavere;8;9;6;10;8;7;9;9;8;4;0;0;534;141;85;92;15;35;0;42;11;38;10;60;2;NULL;NULL;Stevns
Viasat Stor grundpakke;DSL;0;Seniorer;5;7;5;7;8;7;8;6;7;5;0;0;529;0;21;61;1;62;0;217;26;38;23;77;0;2;0;Lemvig
Grundpakke;DSL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;528;0;4;3;1;2;7;314;4;83;7;96;2;NULL;NULL;Næstved
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;9;7;7;9;8;7;10;10;9;9;0;0;523;3;57;54;22;62;2;57;20;52;42;143;4;NULL;NULL;Ballerup
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;9;5;9;7;4;5;8;8;8;10;0;0;520;0;41;34;22;63;0;115;15;62;14;151;1;NULL;NULL;København
Viasat Stor grundpakke;DSL;0;Livet på landet;5;9;4;7;10;10;9;8;8;6;0;0;520;0;230;18;27;22;4;109;20;18;53;14;1;NULL;NULL;Ringsted
Grundpakke;DSL;0;Urban mangfoldighed;3;1;1;9;1;1;4;7;4;1;0;0;516;0;129;122;48;32;23;20;26;44;52;5;11;4;0;København
Viasat Stor grundpakke;DSL;0;Komfort og hygge;2;7;10;5;9;9;2;5;4;4;0;0;515;12;28;24;22;94;11;71;19;131;22;74;1;0;2;Mariagerfjord
Grundpakke;DSL;0;Livet på landet;6;8;5;4;8;9;9;6;10;7;0;0;513;0;46;30;59;81;2;28;37;99;70;52;5;NULL;NULL;Syddjurs
Viasat Mellem grundpakke;DSL;0;Seniorer;9;8;3;8;6;6;8;10;8;9;0;0;511;1;49;20;67;27;1;188;30;61;24;38;1;0;3;Svendborg
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;8;8;10;9;9;9;9;8;6;9;0;0;509;1;177;37;5;50;0;7;1;123;10;95;0;NULL;NULL;Lejre
Viasat Stor grundpakke;DSL;0;Seniorer;4;4;4;2;6;2;6;4;4;4;0;0;509;0;10;37;23;25;0;190;33;28;34;125;0;NULL;NULL;Syddjurs
Viasat Stor grundpakke;DSL;0;Seniorer;6;10;4;8;9;8;7;7;9;5;0;0;506;0;78;55;22;22;5;93;8;39;26;152;3;NULL;NULL;Gribskov
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;9;9;7;9;6;8;9;7;7;9;0;0;503;1;55;75;9;9;1;58;32;30;26;191;12;1;1;Aarhus
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;7;8;6;10;10;9;6;9;9;3;0;0;497;0;70;87;26;19;1;47;21;98;26;98;2;2;0;Køge
Grundpakke;DSL;0;Komfort og hygge;7;9;8;10;8;7;1;9;4;7;0;0;495;1;33;78;63;59;9;42;35;87;54;21;10;1;0;Horsens
Grundpakke;DSL;0;Velfunderede husejere;8;10;3;10;8;7;9;9;8;10;0;0;493;4;38;29;16;10;4;160;27;52;18;123;8;NULL;NULL;Lemvig
Viasat Mellem grundpakke;DSL;0;Velhavere;6;9;5;7;7;6;9;7;5;6;0;0;492;1;24;45;8;17;99;110;4;61;18;101;1;NULL;NULL;Herning
Grundpakke;DSL;0;Livet på landet;9;9;9;10;7;10;9;7;5;6;0;0;490;0;53;15;11;77;0;51;40;184;47;0;9;NULL;NULL;Hjørring
Grundpakke;DSL;0;Velfunderede husejere;4;10;7;7;9;8;7;6;9;4;0;0;486;0;47;39;28;58;2;72;51;59;25;102;0;NULL;NULL;Vesthimmerlands
Viasat Stor grundpakke;DSL;0;Velhavere;9;8;6;9;9;9;10;10;10;10;0;0;483;1;87;27;10;49;1;130;21;69;9;75;0;3;0;Rudersdal
Viasat Stor grundpakke;DSL;0;Livet på landet;4;10;7;8;5;5;2;6;2;4;0;0;480;1;70;43;10;8;3;4;52;218;64;4;1;NULL;NULL;Slagelse
Grundpakke;DSL;0;Velhavere;7;7;6;8;10;10;9;8;7;6;0;0;477;1;27;13;9;91;0;89;30;164;10;37;3;NULL;NULL;Solrød
Grundpakke;DSL;0;Seniorer;4;1;2;2;3;2;8;4;10;3;0;0;475;18;81;26;42;68;1;69;13;103;18;12;20;NULL;NULL;Frederiksberg
Viasat Mellem grundpakke;DSL;0;Livet på landet;9;8;8;7;7;7;9;9;6;6;0;0;472;2;36;20;64;35;0;41;10;39;17;204;1;NULL;NULL;Favrskov
Viasat Stor grundpakke;DSL;0;Komfort og hygge;5;10;8;7;10;6;3;8;4;6;0;0;468;0;97;57;20;39;0;15;12;144;19;59;2;1;0;Esbjerg
Viasat Mellem grundpakke;DSL;1;Velhavere;10;7;7;9;9;8;10;10;8;10;0;0;468;2;41;59;9;16;12;80;22;27;23;165;8;5;0;Aarhus
Viasat Mellem grundpakke;DSL;0;Urban mangfoldighed;4;1;7;2;4;1;7;1;4;3;0;0;464;0;63;24;50;78;0;37;38;107;28;33;3;3;0;København
Viasat Mellem grundpakke;DSL;0;Komfort og hygge;5;6;7;4;7;6;9;4;6;4;0;0;464;0;7;54;21;9;0;41;10;199;39;81;0;NULL;NULL;Aarhus
Viasat Stor grundpakke;DSL;0;Provinsliv;1;1;1;1;2;4;5;1;9;1;0;0;462;5;44;74;68;25;0;18;33;98;64;18;9;NULL;NULL;Hjørring
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;5;9;6;8;10;10;7;7;9;5;0;0;460;3;45;23;19;74;2;128;34;8;15;80;25;NULL;NULL;Assens
Grundpakke;DSL;0;Velfunderede husejere;8;10;6;10;10;10;8;8;8;8;1;0;458;2;55;11;22;76;1;93;32;18;26;117;1;NULL;NULL;Aarhus
Viasat Mellem grundpakke;DSL;0;Komfort og hygge;3;5;5;5;6;6;2;5;6;4;0;0;457;1;84;63;50;41;0;28;63;33;81;8;2;2;0;Varde
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;8;10;6;8;6;6;7;7;7;4;0;0;451;7;160;45;7;28;0;24;15;33;7;121;1;NULL;NULL;Ringsted
Grundpakke;DSL;0;Komfort og hygge;5;8;6;9;9;9;9;5;9;5;0;0;448;5;37;52;25;83;6;53;34;65;22;60;1;NULL;NULL;Skive
Grundpakke;DSL;0;Livet på landet;4;8;6;6;8;6;7;6;8;7;0;0;447;23;108;37;34;67;0;58;31;13;20;48;5;0;2;Guldborgsund
Viasat Mellem grundpakke;DSL;0;Livet på landet;1;7;6;7;7;7;2;6;3;4;0;0;447;99;49;55;27;24;0;16;16;64;47;43;1;1;4;Brønderslev
Viasat Mellem grundpakke;DSL;0;Velhavere;10;8;8;9;8;7;10;9;8;10;0;0;446;2;18;74;9;71;1;108;17;58;24;58;2;8;0;Gladsaxe
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;5;7;4;10;8;7;9;8;9;8;0;0;439;18;21;29;10;19;13;198;23;33;24;46;1;3;1;Svendborg
Viasat Mellem grundpakke;DSL;0;Livet på landet;6;7;7;7;5;1;7;8;6;5;0;0;438;0;84;47;9;13;4;37;21;154;59;5;2;1;0;Faxe
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;10;10;9;9;9;9;6;10;8;10;0;0;438;2;74;19;14;74;0;105;16;11;12;107;0;NULL;NULL;Aarhus
Grundpakke;DSL;0;Komfort og hygge;5;7;8;4;8;5;4;5;5;4;0;0;437;2;39;33;49;76;5;34;61;46;60;22;6;NULL;NULL;Hedensted
Viasat Stor grundpakke;DSL;0;Komfort og hygge;1;3;2;2;5;3;2;1;9;1;0;0;436;6;46;42;5;31;3;132;26;27;26;77;11;NULL;NULL;Kolding
Grundpakke;DSL;0;Komfort og hygge;4;10;6;4;5;10;5;7;2;5;0;0;436;0;56;28;11;6;2;139;24;64;24;78;1;NULL;NULL;Kolding
Grundpakke;DSL;0;Livet på landet;8;9;7;9;9;8;9;9;5;5;1;0;436;8;21;70;15;63;1;61;37;52;41;60;4;NULL;NULL;Favrskov
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;9;5;8;9;9;7;5;8;8;9;0;0;431;0;24;27;14;12;0;164;6;88;8;82;3;NULL;NULL;Vordingborg
Grundpakke;DSL;0;Seniorer;1;3;1;4;5;1;5;1;10;2;0;0;430;2;35;39;27;104;3;30;23;69;22;69;2;NULL;NULL;Guldborgsund
Grundpakke;DSL;0;Vid og velstand;9;5;1;3;1;2;10;7;8;8;0;0;429;0;19;24;19;66;1;53;22;144;70;7;0;NULL;NULL;Vejle
Viasat Stor grundpakke;DSL;0;Seniorer;1;5;3;6;6;9;8;3;10;2;0;0;428;18;70;71;17;12;2;19;16;124;63;10;3;NULL;NULL;Odsherred
Grundpakke;DSL;0;Seniorer;10;7;5;8;7;8;10;9;10;10;0;0;427;0;15;37;23;23;3;119;34;24;68;73;5;NULL;NULL;Hillerød
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;7;7;3;8;8;8;5;6;6;5;0;0;427;14;28;33;21;26;4;92;32;48;14;110;0;NULL;NULL;Skive
Grundpakke;DSL;0;Velfunderede husejere;8;10;9;8;8;7;6;8;5;8;0;0;427;1;37;21;17;86;3;119;43;60;13;23;1;3;3;Viborg
Viasat Mellem grundpakke;DSL;0;Livet på landet;7;7;9;7;6;9;4;7;4;7;0;0;426;0;55;114;20;59;1;29;33;31;39;36;4;NULL;NULL;Kalundborg
Viasat Mellem grundpakke;DSL;0;Livet på landet;10;6;6;3;6;10;9;5;8;8;0;0;426;0;16;68;10;32;0;56;34;41;24;139;1;11;5;Silkeborg
Viasat Mellem grundpakke;DSL;0;Velfunderede husejere;7;9;5;7;8;6;5;7;7;4;0;0;425;0;6;0;3;22;1;141;10;12;38;190;0;NULL;NULL;Lolland
Viasat Stor grundpakke;DSL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;424;0;49;55;21;60;0;47;11;20;17;138;4;NULL;NULL;Hillerød
Grundpakke;DSL;0;Seniorer;8;10;5;10;8;7;10;9;10;8;0;0;422;2;20;35;28;29;1;47;11;167;29;47;2;2;0;Greve
Viasat Mellem grundpakke;DSL;0;Livet på landet;1;5;1;1;8;4;1;2;9;1;0;0;422;23;14;11;25;20;0;22;13;28;16;245;1;NULL;NULL;Holstebro
Viasat Mellem grundpakke;DSL;0;Komfort og hygge;4;9;9;10;8;7;7;6;7;7;0;0;422;41;37;24;20;32;10;131;29;33;22;36;2;3;0;Holstebro
Viasat Mellem grundpakke;DSL;0;Livet på landet;5;6;3;6;9;8;10;6;9;7;0;0;421;0;15;18;5;15;0;144;9;19;30;161;1;NULL;NULL;Langeland
Grundpakke;DSL;0;Komfort og hygge;9;4;6;5;4;6;9;6;4;6;0;0;418;0;13;18;34;47;1;43;13;181;46;17;3;NULL;NULL;København
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;6;8;8;8;8;7;4;7;5;4;0;0;414;0;44;59;30;77;0;71;22;45;25;38;1;NULL;NULL;Syddjurs
Viasat Stor grundpakke;DSL;0;Urban mangfoldighed;7;1;2;1;1;5;5;4;1;8;0;0;413;5;97;16;50;34;0;24;10;29;20;118;5;2;10;Frederiksberg
Viasat Stor grundpakke;DSL;0;Velfunderede husejere;8;10;8;10;10;10;10;10;6;8;0;0;410;33;7;4;34;90;2;117;30;6;10;74;1;NULL;NULL;Egedal
